Date,Open,High,Low,Close,Adj Close,Volume
2017-03-28,32.314991,32.504745,32.229603,32.409866,27.351637,19327725
2017-03-29,32.409866,32.685009,32.362431,32.571156,27.487749,18214174
2017-03-30,32.438332,32.675522,32.400379,32.590134,27.503769,15803465
2017-03-31,32.457306,32.618595,32.409866,32.457306,27.391666,19616837
2017-04-03,32.362431,32.590134,32.352940,32.485767,27.415684,19064752
2017-04-04,32.428844,32.732449,32.305504,32.580647,27.495762,20324177
2017-04-05,32.571156,32.751423,32.400379,32.438332,27.375652,20321225
2017-04-06,32.390892,32.590134,32.314991,32.362431,27.311604,17164706
2017-04-07,32.343452,32.495255,32.296017,32.352940,27.303589,14728069
2017-04-10,32.381405,32.466793,32.229603,32.296017,27.255548,16852722
2017-04-11,32.277039,32.333965,32.011387,32.191650,27.167473,20155642
2017-04-12,32.144215,32.248577,31.982922,32.182163,27.159468,26022628
2017-04-13,32.144215,32.277039,32.087288,32.144215,27.127439,13560553
2017-04-17,32.163189,32.305504,32.087288,32.258064,27.223520,15963462
2017-04-18,32.030361,32.144215,31.935484,32.106262,27.095413,22293365
2017-04-19,32.115749,32.172676,31.831120,31.888046,26.911255,25204302
2017-04-20,31.907021,32.134724,31.764706,32.011387,27.015347,19339319
2017-04-21,31.916510,32.001900,31.755219,31.916510,26.935272,25552227
2017-04-24,32.239090,32.286530,31.925997,32.011387,27.015347,22438501
2017-04-25,32.087288,32.220116,31.982922,32.030361,27.031357,19756176
2017-04-26,32.125237,32.286530,32.115749,32.115749,27.103420,20884483
2017-04-27,32.220116,32.277039,32.039848,32.125237,27.111423,15633139
2017-04-28,32.144215,32.201138,32.020874,32.182163,27.159468,16842077
2017-05-01,32.153702,32.248577,32.039848,32.049335,27.047371,23910833
2017-05-02,31.859583,31.992411,31.195446,31.888046,26.911255,42965678
2017-05-03,31.764706,31.869070,31.593927,31.755219,26.799156,26155748
2017-05-04,31.726755,31.869070,31.612904,31.736242,26.783144,26897869
2017-05-05,31.726755,31.764706,31.527514,31.764706,26.807163,22999966
2017-05-08,31.688805,31.897533,31.641365,31.736242,26.783144,24781543
2017-05-09,31.736242,31.869070,31.641365,31.669828,26.727095,18028248
2017-05-10,31.309298,31.423149,31.214420,31.337761,26.702843,34829852
2017-05-11,31.299810,31.442125,31.166983,31.347248,26.710926,26421567
2017-05-12,31.204933,31.375711,31.204933,31.318787,26.686674,18589187
2017-05-15,31.280834,31.480076,31.119545,31.423149,26.775597,20530444
2017-05-16,30.891842,31.119545,30.730551,30.929790,26.355209,42437834
2017-05-17,30.929790,30.929790,30.559772,30.578749,26.056089,29931281
2017-05-18,30.550285,30.759012,30.426945,30.569260,26.048002,24874822
2017-05-19,30.645161,30.796965,30.540796,30.796965,26.242031,29885432
2017-05-22,30.834915,30.834915,30.474382,30.474382,25.967157,26725962
2017-05-23,30.474382,30.626186,30.436434,30.493359,25.983328,18517410
2017-05-24,30.521822,30.626186,30.332067,30.407970,25.910570,23576821
2017-05-25,30.417458,30.550285,30.332067,30.512335,25.999500,18227244
2017-05-26,30.531309,30.635674,30.455408,30.493359,25.983328,12330746
2017-05-30,30.417458,30.654650,30.379507,30.483871,25.975245,16913643
2017-05-31,30.626186,31.110058,30.483871,30.977230,26.395634,30585499
2017-06-01,30.996204,31.166983,30.853889,31.034157,26.444139,25184803
2017-06-02,31.091082,31.195446,30.777988,30.872866,26.306709,21984543
2017-06-05,30.844402,30.910816,30.550285,30.692600,26.153099,14994836
2017-06-06,30.645161,30.711575,30.398481,30.426945,25.926731,18831186
2017-06-07,30.436434,30.512335,30.265656,30.360531,25.870146,17479641
2017-06-08,30.360531,30.455408,30.047438,30.123341,25.668037,35620773
2017-06-09,30.180265,31.119545,30.113852,31.091082,26.492649,31764609
2017-06-12,31.091082,31.394688,31.024668,31.024668,26.436056,30435515
2017-06-13,31.034157,31.100569,30.853889,30.910816,26.339041,18093913
2017-06-14,30.920303,31.081594,30.796965,31.015181,26.427973,14568177
2017-06-15,30.948767,31.337761,30.891842,31.129032,26.524982,19952115
2017-06-16,31.290323,31.432638,31.129032,31.280834,26.654335,33600044
2017-06-19,31.252373,31.546490,31.223909,31.518026,26.856443,21922146
2017-06-20,31.508539,32.020874,31.451612,31.840607,27.131315,27473775
2017-06-21,31.859583,32.352940,31.859583,32.144215,27.390017,27134492
2017-06-22,32.210625,32.713470,32.182163,32.314991,27.535538,23352529
2017-06-23,32.333965,32.466793,32.229603,32.419353,27.624468,31668800
2017-06-26,32.409866,32.457306,32.229603,32.296017,27.519365,14937604
2017-06-27,32.381405,32.381405,32.020874,32.039848,27.301088,16089942
2017-06-28,32.125237,32.248577,31.925997,32.020874,27.284922,15594035
2017-06-29,32.020874,32.134724,31.660341,31.907021,27.187906,15724837
2017-06-30,32.001900,32.068310,31.793169,31.869070,27.155567,14242175
2017-07-03,31.764706,32.229603,31.755219,32.087288,27.341511,8971964
2017-07-05,32.201138,32.210625,31.774195,31.916510,27.195990,17072270
2017-07-06,31.916510,31.944971,31.442125,31.518026,26.856443,14676318
2017-07-07,31.546490,31.650854,31.328274,31.641365,26.961542,17914522
2017-07-10,31.650854,31.812143,31.537003,31.698292,27.010052,14256720
2017-07-11,31.688805,31.755219,31.356735,31.470589,26.816023,12874083
2017-07-12,31.631880,31.812143,31.499050,31.518026,26.856443,14577979
2017-07-13,31.518026,31.631880,31.299810,31.574953,26.904953,14112006
2017-07-14,31.565466,31.831120,31.537003,31.717268,27.026218,13175843
2017-07-17,31.726755,31.755219,31.442125,31.546490,26.880699,17733866
2017-07-18,31.527514,31.679317,31.347248,31.650854,26.969629,15356148
2017-07-19,31.660341,31.963947,31.603416,31.897533,27.179827,19825951
2017-07-20,31.755219,31.973434,31.631880,31.821632,27.115147,17870043
2017-07-21,31.755219,31.859583,31.679317,31.764706,27.066637,12673718
2017-07-24,31.669828,31.736242,31.470589,31.612904,26.937286,15558937
2017-07-25,31.669828,31.764706,31.318787,31.404175,26.759430,20856025
2017-07-26,31.394688,31.404175,31.148008,31.204933,26.589659,16572674
2017-07-27,31.110058,31.309298,31.015181,31.309298,26.678589,17561221
2017-07-28,31.366224,31.470589,31.129032,31.451612,26.799852,17116117
2017-07-31,31.508539,31.679317,31.442125,31.461102,26.807940,23169660
2017-08-01,31.347248,31.593927,31.043644,31.385199,26.743265,28072552
2017-08-02,31.185959,31.233397,31.024668,31.233397,26.873877,30412116
2017-08-03,31.261860,32.077801,31.176472,31.717268,27.290211,28739945
2017-08-04,31.859583,32.258064,31.764706,31.916510,27.461641,27183398
2017-08-07,31.831120,31.869070,31.546490,31.603416,27.192253,13188280
2017-08-08,31.622391,31.745731,31.518026,31.574953,27.167761,16986475
2017-08-09,31.631880,31.745731,31.461102,31.736242,27.306538,15807681
2017-08-10,31.660341,31.831120,31.508539,31.707781,27.282049,19062539
2017-08-11,31.783682,31.850096,31.508539,31.546490,27.143270,13626639
2017-08-14,31.622391,31.660341,31.442125,31.603416,27.192253,13482241
2017-08-15,31.631880,31.812143,31.555977,31.669828,27.249392,18048801
2017-08-16,31.622391,31.774195,31.555977,31.650854,27.233068,11128764
2017-08-17,31.584440,31.736242,31.261860,31.261860,26.898369,15661175
2017-08-18,31.223909,31.280834,30.977230,30.996204,26.669792,16326565
2017-08-21,30.929790,31.185959,30.664137,31.081594,26.743263,17848752
2017-08-22,31.081594,31.518026,31.024668,31.451612,27.061634,14178619
2017-08-23,31.375711,31.679317,31.375711,31.537003,27.135111,16989953
2017-08-24,31.660341,31.688805,31.470589,31.527514,27.126942,12140394
2017-08-25,31.574953,31.897533,31.527514,31.679317,27.257557,15171171
2017-08-28,31.783682,31.897533,31.698292,31.755219,27.322865,13033026
2017-08-29,31.717268,31.831120,31.537003,31.783682,27.347353,12884096
2017-08-30,31.764706,31.764706,31.546490,31.736242,27.306538,12394935
2017-08-31,31.783682,32.277039,31.764706,32.182163,27.690222,27300497
2017-09-01,32.201138,32.381405,32.087288,32.220116,27.722872,19160771
2017-09-05,32.144215,32.419353,32.020874,32.068310,27.592257,15068616
2017-09-06,32.210625,32.362431,32.172676,32.248577,27.747358,13925764
2017-09-07,32.296017,32.381405,32.077801,32.248577,27.747358,18831923
2017-09-08,32.210625,32.495255,32.068310,32.352940,27.837156,16276290
2017-09-11,32.343452,32.580647,32.239090,32.561668,28.016752,17263993
2017-09-12,32.618595,33.918407,32.599621,33.557877,28.873911,39268351
2017-09-13,33.453510,33.614799,33.178368,33.263756,28.620846,22115450
2017-09-14,33.254269,34.003796,33.206833,33.899429,29.167788,28907847
2017-09-15,33.776093,33.889942,33.434536,33.548386,28.865742,30430139
2017-09-18,33.567364,33.728653,33.406071,33.728653,29.020849,17850755
